1,Москва,Москва,12506468
2,Санкт-Петербург,Санкт-Петербург,5351935
3,Новосибирск,Новосибирская область,1618033
4,Екатеринбург,Свердловская область,1483119
5,Нижний Новгород,Нижегородская область,1250615
6,Казань,Республика Татарстан,1243500
7,Челябинск,Челябинская область,1202371
8,Омск,Омская область,1164731
9,Самара,Самарская область,1172070
10,Ростов-на-Дону,Ростовская область,1130305
11,Уфа,Республика Башкортостан,1128532
12,Красноярск,Красноярский край,1099441
13,Пермь,Пермский край,1055000
14,Воронеж,Воронежская область,1052420
15,Волгоград,Волгоградская область,1015587
16,Краснодар,Краснодарский край,989678
17,Саратов,Саратовская область,837000
18,Тюмень,Тюменская область,805000
19,Тольятти,Самарская область,720000
20,Ижевск,Удмуртская Республика,645000
21,Ульяновск,Ульяновская область,628000
22,Барнаул,Алтайский край,612000
23,Иркутск,Иркутская область,612000
24,Кемерово,Кемеровская область,600000
25,Оренбург,Оренбургская область,565000
26,Новокузнецк,Кемеровская область,544000
27,Киров,Кировская область,526000
28,Рязань,Рязанская область,520000
29,Астрахань,Астраханская область,520000
30,Набережные Челны,Республика Татарстан,510000
31,Пенза,Пензенская область,500000
32,Липецк,Липецкая область,500000
33,Курск,Курская область,490000
34,Тула,Тульская область,470000
35,Владивосток,Приморский край,460000
36,Сочи,Краснодарский край,460000
37,Курган,Курганская область,450000
38,Чебоксары,Чувашская Республика,440000
39,Калининград,Калининградская область,440000
40,Улан-Удэ,Республика Бурятия,428000
41,Магнитогорск,Челябинская область,420000
42,Иваново,Ивановская область,410000
43,Мурманск,Мурманская область,400000
44,Ярославль,Ярославская область,400000
45,Владимир,Владимирская область,395000
46,Смоленск,Смоленская область,390000
47,Архангельск,Архангельская область,380000
48,Брянск,Брянская область,370000
49,Тверь,Тверская область,360000
50,Калуга,Калужская область,350000
51,Саранск,Республика Мордовия,345000
52,Орёл,Орловская область,330000
53,Томск,Томская область,320000
54,Новочебоксарск,Чувашская Республика,315000
55,Волжский,Волгоградская область,310000
56,Зеленодольск,Республика Татарстан,305000
57,Новороссийск,Краснодарский край,300000
58,Армавир,Краснодарский край,295000
59,Обнинск,Калужская область,290000
60,Хабаровск,Хабаровский край,285000
61,Великий Новгород,Новгородская область,280000
62,Салават,Республика Башкортостан,275000
63,Дзержинск,Нижегородская область,270000
64,Орск,Оренбургская область,265000
65,Балашиха,Московская область,260000
66,Подольск,Московская область,255000
67,Королёв,Московская область,250000
68,Мытищи,Московская область,245000
69,Люберцы,Московская область,240000
70,Зеленоград,Московская область,235000
71,Раменское,Московская область,230000
72,Химки,Московская область,225000
73,Реутов,Московская область,220000
74,Одинцово,Московская область,215000
75,Долгопрудный,Московская область,210000
76,Ломоносов,Ленинградская область,205000
77,Коломна,Московская область,200000
78,Новомосковск,Тамбовская область,195000
79,Энгельс,Саратовская область,190000
80,Арзамас,Нижегородская область,185000
81,Златоуст,Челябинская область,180000
82,Новошахтинск,Ростовская область,175000
83,Ессентуки,Ставропольский край,170000
84,Кизляр,Дагестан,165000
85,Норильск,Красноярский край,160000
86,Слободской,Республика Мордовия,155000
87,Нижнекамск,Республика Татарстан,150000
88,Кызыл,Республика Тыва,145000
89,Минеральные Воды,Ставропольский край,140000
90,Стерлитамак,Республика Башкортостан,135000
91,Саров,Нижегородская область,130000
92,Старый Оскол,Белгородская область,125000
93,Балаково,Саратовская область,120000
94,Лиски,Воронежская область,115000
95,Уссурийск,Приморский край,110000
96,Ангарск,Иркутская область,105000
97,Щёлково,Московская область,100000
98,Электросталь,Московская область,90000
99,Королев,Московская область,85000
